T	43.89	30.97
TJX	83.64	43.43
TMK	93.595	36.58
TMO	226.44	71.6
TPR	60.12	27.2199
TROW	120.07	62.97
TRV	150.55	77.38
TSS	89.92	21.53
TXN	120.75	32.19
TXT	62.19	24.87
UA	46.53	10.36
UAL	83.04	25.26
UHS	148.57	55.3
ULTA	314.86	72.51
UNM	58.73	23.58
UPS	135.53	81.51
URI	189.0	41.9
USB	58.5	31.99
V	126.88	38.535
VIAB	89.76	22.13
VMC	141.2	45.42
VRSK	100.54	53.5
VRTX	174.955	43.6912
VTR	84.108	46.87
VZ	56.95	38.06
WAT	220.2	87.85
WBA	97.3	39.74
WDC	114.69	34.99
WFC	66.31	34.52
WLTW	165.0	104.11
WM	89.73	35.5
WMB	61.38	10.22
WMT	109.98	56.3
WRK	71.55	29.73
WU	22.84	13.8
WY	37.89	22.06
WYN	127.96	52.84
WYNN	249.31	49.95
XEC	150.71	62.98
XL	47.27	5.4
XLNX	77.26	34.98
XOM	104.76	66.55
XRAY	68.98	39.9
XRX	57.44	25.84
ZBH	133.49	72.24
ZION	55.61	19.65
A	75.0	33.115
ABBV	125.86	35.01
ABT	64.6	32.7
ADP	125.24	60.0
ADSK	131.1	33.005
AEE	64.89	32.34
AES	15.65	8.22
AFL	91.73	48.1724
AIG	67.47	36.68
ALB	144.99	41.37
ALL	105.36	44.89
ALXN	208.88	81.82
AMAT	60.89	12.65
AME	78.51	39.46
AMG	230.63	115.97
AMGN	201.23	82.92
ANDV	121.71	40.9
ANSS	164.9	70.66
AOS	68.39	16.6725
APD	175.17	84.04
APH	93.62	34.43
APTV	96.91	82.97
AVB	199.52	114.16
AVGO	285.68	30.57
AWK	92.37	38.7
AXP	102.385	50.27
AYI	280.89	65.99
BA	361.45	74.27
BAX	77.31	32.18
BBY	78.59	13.83
BEN	59.43	30.56
BK	58.99	26.635
BLK	594.52	233.8
BRK.B	217.62	96.73
BSX	29.93	7.07
C	80.7	34.52
CAG	48.86	28.09
CB	157.5	84.41
CBOE	138.54	33.64
CCI	114.97	66.13
CELG	147.17	48.9226
CF	70.32	20.77
CHD	54.1799	28.18
CHTR	408.83	76.19
CL	77.91	50.84
CLX	150.4	80.08
CMA	98.18	30.48
CMCSA	44.0	19.155
CME	163.0	56.6
CMG	758.61	263.0
CMI	194.18	79.88
CMS	50.85	25.51
CNP	30.45	16.05
COG	41.78	14.88
COO	256.39	101.57
COST	199.88	98.95
COTY	32.72	12.83
CPB	67.89	37.37
CSRA	33.79	20.98
CTAS	169.96	42.11
CTL	45.67	13.161
CVX	135.1	69.58
DAL	60.79	13.16
DE	171.96	70.16
DFS	81.93	37.24
DG	105.82	43.35
DGX	112.965	50.46
DHI	53.32	17.52
DOV	109.06	50.91
DPS	126.65	42.1
DRE	30.14	14.12
DRI	100.11	43.56
DTE	116.74	63.38
DVA	85.17	52.51
DWDP	77.08	64.01
DXC	102.95	67.76
EBAY	66.73	21.515
ED	89.7	52.23
EFX	147.02	52.79
EL	138.74	61.3
EOG	119.0	56.025
EQIX	495.345	152.82
ESS	270.04	137.53
ETN	89.85	46.19
ETR	92.02	60.22
EXPD	67.54	34.83
EXR	94.81	36.5
FBHS	73.62	32.505
FCX	39.32	3.52
FE	46.77	27.93
FFIV	149.5	67.53
FITB	33.91	13.84
FLIR	52.88	23.0
FLS	82.244	33.86
FOX	38.56	22.65
FTI	63.92	22.3
GD	229.54	65.3703
GIS	72.95	42.4101
GPN	113.26	21.8661
GT	37.2	11.83
GWW	298.145	155.0
HAL	74.33	27.64
HBAN	16.53	6.75
HBI	34.8	9.545
HCN	84.88	52.425
HCP	56.06	22.8
HOLX	46.8	18.455
HON	165.13	68.84
HPE	24.88	11.625
HPQ	24.1	8.91
HRS	160.67	41.08
HSIC	93.495	43.335
HST	24.5	12.17
ICE	76.1378	29.584
IDXX	198.73	40.785
IFF	157.4	70.73
INCY	153.15	17.9501
IP	66.94	32.5
IR	97.67	47.082
ISRG	452.0	115.4866
IT	142.16	47.99
IVZ	42.05	23.015
JPM	117.3529	46.05
JWN	83.16	35.01
K	87.16	55.69
KEY	22.22	9.14
KIM	32.24	14.33
KLAC	121.65	44.95
KMI	44.71	11.2
KORS	101.04	32.38
KR	42.75	13.82
KSS	79.6	33.87
KSU	126.49	62.2
LEN	72.17	30.2941
LLY	92.85	47.53
LMT	361.79	85.88
LNC	86.68	27.82
LRCX	219.7	39.94
LUV	66.985	11.23
LYB	121.95	55.02
M	73.61	17.405
MAA	110.95	59.23
MAC	95.93	52.12
MAS	46.445	17.66
MCK	243.61	101.78
MCO	167.23	40.67
MDLZ	48.58	26.45
MDT	89.72	43.5134
MGM	38.41	11.72
MKC	109.67	62.75
MMC	86.54	34.43
MMM	259.77	101.75
MOS	64.65	19.23
MSI	107.78	53.28
MTB	193.85	95.68
MTD	697.26	196.0
NCLH	64.27	27.32
NI	49.16	16.035
NLSN	55.94	31.38
NOV	86.55	25.74
NRG	38.09	8.8
NTAP	64.0599	20.66
NTRS	108.91	51.9
NVDA	249.27	12.04
NWL	55.45	22.46
NWSA	18.53	10.21
O	72.295	36.58
OKE	71.19	18.84
OMC	89.66	54.33
