A	118.32692567953436
AAL	100.83334553259954
ABT	118.1135534264331
ADI	122.20452436171627
AEE	117.92593627270307
AET	123.77365061205091
AIG	120.04282971089913
AIV	113.31970006114202
ALGN	116.37396459741153
AOS	106.09477153179469
APC	115.55459799388936
ATVI	101.14282336257196
AWK	120.93276202598156
AXP	125.18429129560754
AYI	129.45882758916215
BA	131.27241914612733
BBY	102.5102347484602
BF.B	117.704006748506
BHGE	115.47447645841049
BIIB	142.52400906085387
BLL	110.15104447142619
BRK.B	135.23835747028616
BWA	115.15597423050949
CAG	115.51150860869198
CBOE	118.59251741762299
CDNS	100.24512830854108
CERN	122.47214397975951
CF	110.15978893213604
CHRW	125.16520789552031
CHTR	131.6607386426689
CI	126.88883556580753
CL	125.36431270836081
CMA	116.91692641139569
CMCSA	108.6801050073938
CMG	149.300740655113
CMS	113.83101493836952
CNC	110.4198661885326
CSCO	109.45342872249529
CTAS	122.3214913653935
CTL	101.53817334796962
CVS	125.16581259737889
D	126.2610336867686
DAL	101.53667651865155
DE	130.4021150511063
DFS	120.29502850032179
DGX	125.24455304562247
DIS	126.20200812970023
DISCA	105.30382859463397
DISH	118.66753188090273
DOV	125.38626361979938
DTE	128.83382096140483
EA	106.06364498605778
ECL	130.8049651317655
ED	125.79394034270115
EFX	125.96340096331409
EIX	123.13305950110077
EMN	126.9057237037813
EQIX	141.84122794890874
ES	121.20793989275536
ETFC	94.94433438524958
EXC	113.53893179456433
EXPD	119.1773940599015
EXR	119.9608334757565
FAST	118.99313754447185
FFIV	129.81475889497443
FITB	102.52433719852797
FL	115.71357283631676
FOXA	111.72993472355283
FRT	134.86939861639976
FTI	111.4428731844097
GE	103.70689937173529
GIS	122.43755598995939
GPC	129.9870817899746
GRMN	117.16738716615914
GT	99.41571117508084
GWW	142.04082760390338
HBAN	87.40073211236484
HD	128.9411846192313
HES	117.95998775704868
HII	123.13672918964873
HP	121.4862315575628
HPE	99.06338450676539
HPQ	93.53886521012296
HRL	107.24790686344825
HST	99.98417473795111
ICE	116.40536172611353
IDXX	121.79758506507837
INTC	109.56280152445422
INTU	126.76720509437843
IPG	99.70236145720497
IR	124.13303868171515
JBHT	128.88272581290883
JNPR	104.85819941561347
JWN	119.26387464492844
KEY	94.08226965305762
KMB	134.06445100727146
LNC	115.34414233572481
LOW	119.66551611681105
LUK	103.11952844602492
M	106.90231136604054
MAC	125.76041298237185
MAR	120.70229806487235
MCD	133.74691185453628
MCHP	118.63257256181772
MDLZ	114.46508669309601
MET	118.71733055176018
MHK	135.8699107602625
MLM	134.6602851092467
MMC	118.98337566189694
MOS	108.75200145039734
MPC	116.20421542280633
MSFT	114.97182086238945
MSI	126.1100267450012
MTB	135.0768374655992
MYL	115.24094047856802
NAVI	91.74599574009784
NCLH	115.02921257281001
NEM	104.57485176200761
NFX	109.07387082269688
NOC	129.03324254798363
NWS	97.44193205662741
ORLY	135.3956776385196
PCG	120.82552246189856
PFG	116.89445836500875
PGR	111.62688809373807
PH	133.01284644101253
PLD	119.0661461315439
PNW	125.46126641620998
PPL	115.72573236798624
PSX	126.55538744985303
PXD	136.2352041425606
RF	88.22908944363225
RHI	117.00646181387559
RL	129.47520711567898
RMD	122.09054808410623
ROK	132.51187419246367
RSG	116.62217166159621
SBAC	129.61944036917646
SCG	119.4068880059948
SEE	108.36470388696956
SHW	141.9441626946432
SIG	123.78943518467305
SLG	132.38108061728357
SRCL	128.30199745675858
STT	125.28721534150145
STZ	117.2334720033558
SWK	131.16945399593547
SYF	111.68246021279526
TGT	124.63009448463792
TIF	127.17182202874018
TMK	119.99733297396433
TROW	128.73302317730057
TSN	111.02685786334655
UAA	98.66797057414713
UPS	132.6821670139991
UTX	133.02547410518048
V	120.86207263470645
VAR	128.7650628857042
VIAB	111.30544015801765
VMC	123.5525996385109
VRSK	126.17536568438088
VRSN	122.76880354249221
VZ	120.6566355770744
WAT	133.80659930150279
WBA	121.37057901371065
WFC	119.02725326955385
WM	119.49674835385561
WMB	96.42748701664875
WMT	126.98146955561718
WY	111.24849327813233
WYN	125.97843284253882
WYNN	125.08221494573495
XEC	128.73549040089827
XEL	114.75950038119682
XL	82.13543614353169
YUM	127.8676857674662
ZION	109.1486557760405
ZTS	115.53922308017879
AAP	131.5472093523098
ABC	123.78592900801219
ACN	130.14614080954001
ADM	116.56481544560607
ADP	127.98014553084104
ADS	141.70952250021088
ADSK	118.27066814127839
AIZ	120.66969660818839
AJG	119.71363320812365
AKAM	118.0798533690051
ALB	122.03124000502083
ALK	112.70934633591581
AMAT	100.75506426461062
AMD	43.64763191310144
AMG	137.8952983844607
AMGN	132.9404610857407
AMP	129.449459125407
ANDV	121.84381630399488
ANSS	130.5109936182819
AON	126.86346515888935
APA	117.84969233565782
APD	133.14217059867377
APTV	132.94953048720816
ARE	128.20237645966526
AVY	120.97543753954336
AZO	153.78719393647913
BAC	97.9040480590563
BAX	117.84178261843512
BBT	116.16885358210355
BDX	133.55411294176326
BEN	116.96176127668645
BK	114.58681695773956
BSX	88.45437970283666
BXP	134.95713437032384
CA	112.73526947370274
CAH	122.05103642853378
CAT	126.99824651750792
CBG	110.00163343144149
CBS	120.85133210661333
CCI	129.4915672263632
CCL	117.44624424714054
CHD	115.5668866293025
CINF	122.89622683510316
CLX	132.41507648453452
CME	127.06515418830297
CNP	105.37494491473672
COF	125.16520789552031
COL	127.38138964665919
COO	135.9585605377048
CPB	120.35295740640169
CSRA	110.34229805592403
CTSH	116.90569661609003
CXO	130.35393343996552
DHI	107.0254591601309
DHR	127.34327140883657
